pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,pizza_size
1,1,hawaiian_m,1,1/1/2015,11:38:36,"13,25",M
2,2,classic_dlx_m,1,1/1/2015,11:57:40,16,M
3,2,five_cheese_l,1,1/1/2015,11:57:40,"18,5",L
4,2,ital_supr_l,1,1/1/2015,11:57:40,"20,75",L
5,2,mexicana_m,1,1/1/2015,11:57:40,16,M
6,2,thai_ckn_l,1,1/1/2015,11:57:40,"20,75",L
7,3,ital_supr_m,1,1/1/2015,12:12:28,"16,5",M
8,3,prsc_argla_l,1,1/1/2015,12:12:28,"20,75",L
9,4,ital_supr_m,1,1/1/2015,12:16:31,"16,5",M
10,5,ital_supr_m,1,1/1/2015,12:21:30,"16,5",M
11,6,bbq_ckn_s,1,1/1/2015,12:29:36,"12,75",S
12,6,the_greek_s,1,1/1/2015,12:29:36,12,S
13,7,spinach_supr_s,1,1/1/2015,12:50:37,"12,5",S
14,8,spinach_supr_s,1,1/1/2015,12:51:37,"12,5",S
15,9,classic_dlx_s,1,1/1/2015,12:52:01,12,S
16,9,green_garden_s,1,1/1/2015,12:52:01,12,S
17,9,ital_cpcllo_l,1,1/1/2015,12:52:01,"20,5",L
18,9,ital_supr_l,1,1/1/2015,12:52:01,"20,75",L
19,9,ital_supr_s,1,1/1/2015,12:52:01,"12,5",S
20,9,mexicana_s,1,1/1/2015,12:52:01,12,S
21,9,spicy_ital_l,1,1/1/2015,12:52:01,"20,75",L
22,9,spin_pesto_l,1,1/1/2015,12:52:01,"20,75",L
23,9,veggie_veg_s,1,1/1/2015,12:52:01,12,S
24,10,mexicana_l,1,1/1/2015,13:00:15,"20,25",L
25,10,southw_ckn_l,1,1/1/2015,13:00:15,"20,75",L
26,11,bbq_ckn_l,1,1/1/2015,13:02:59,"20,75",L
27,11,cali_ckn_l,1,1/1/2015,13:02:59,"20,75",L
28,11,cali_ckn_m,1,1/1/2015,13:02:59,"16,75",M
29,11,pepperoni_l,1,1/1/2015,13:02:59,"15,25",L
30,12,cali_ckn_l,1,1/1/2015,13:04:41,"20,75",L
31,12,cali_ckn_s,1,1/1/2015,13:04:41,"12,75",S
32,12,ckn_pesto_l,1,1/1/2015,13:04:41,"20,75",L
33,12,ital_supr_m,1,1/1/2015,13:04:41,"16,5",M
34,13,mexicana_l,1,1/1/2015,13:11:55,"20,25",L
35,14,the_greek_s,1,1/1/2015,13:14:19,12,S
36,15,big_meat_s,1,1/1/2015,13:33:00,12,S
37,15,five_cheese_l,1,1/1/2015,13:33:00,"18,5",L
38,15,soppressata_l,1,1/1/2015,13:33:00,"20,75",L
39,15,the_greek_s,1,1/1/2015,13:33:00,12,S
40,16,four_cheese_l,1,1/1/2015,13:34:07,"17,95",L
41,16,napolitana_s,1,1/1/2015,13:34:07,12,S
42,16,thai_ckn_l,1,1/1/2015,13:34:07,"20,75",L
43,17,bbq_ckn_l,1,1/1/2015,13:53:00,"20,75",L
44,17,calabrese_m,1,1/1/2015,13:53:00,"16,25",M
45,17,five_cheese_l,1,1/1/2015,13:53:00,"18,5",L
46,17,four_cheese_m,1,1/1/2015,13:53:00,"14,75",M
47,17,ital_supr_m,1,1/1/2015,13:53:00,"16,5",M
48,17,ital_veggie_s,1,1/1/2015,13:53:00,"12,75",S
49,17,mediterraneo_m,2,1/1/2015,13:53:00,16,M
50,17,mexicana_l,1,1/1/2015,13:53:00,"20,25",L
51,17,peppr_salami_s,1,1/1/2015,13:53:00,"12,5",S
52,17,spinach_fet_l,1,1/1/2015,13:53:00,"20,25",L
53,18,napolitana_l,1,1/1/2015,13:57:08,"20,5",L
54,19,ital_cpcllo_l,1,1/1/2015,13:59:09,"20,5",L
55,19,sicilian_l,1,1/1/2015,13:59:09,"20,25",L
56,20,big_meat_s,1,1/1/2015,14:03:08,12,S
57,20,five_cheese_l,1,1/1/2015,14:03:08,"18,5",L
58,21,ital_cpcllo_l,1,1/1/2015,14:14:29,"20,5",L
59,22,five_cheese_l,1,1/1/2015,14:16:26,"18,5",L
60,22,ital_cpcllo_m,1,1/1/2015,14:16:26,16,M
61,22,southw_ckn_l,1,1/1/2015,14:16:26,"20,75",L
62,23,southw_ckn_s,1,1/1/2015,14:19:03,"12,75",S
